ISCO-88,Identity
1110,Legislator
1120,Governor
1229,Manager
1231,Bank Manager
1232,Manager
1233,Manager
1240,Supervisor
1311,Forest ranger
1314,Manager of branch store
2100,Physicist
2111,Physicist
2113,Chemist
2114,Geologist
2122,Statistician
2131,Computer Programmer
2132,Computer support specialist
2141,Architect
2142,Civil engineer
2143,Electrical engineer
2145,Mechanical engineer
2146,Chemical engineer
2149,Architect
2211,Biologist
2221,Doctor
2222,Dentist
2223,Veterinarian
2224,Pharmacist
2230,Professor
2321,Teacher
2331,Elementary school teacher
2359,Teacher
2411,Accountant
2421,Lawyer
2422,Judge
2431,Librarian
2432,Librarian
2441,Economist
2445,Psychologist
2446,Social worker
2451,Journalist
2452,Artist
2455,Actor
2460,Clergy
3111,Technician
3113,Technician
3115,Technician
3119,Technician
3122,Computer support specialist
3132,Switchboard operator
3143,Airline pilot
3151,Fire investigator
3211,Technician
3221,Nursing assistant
3223,Nutritionist
3225,Dental assistant
3231,Nurse
3410,Bank teller
3411,Stockbroker
3412,Insurance agent
3413,Real estate agent
3415,Salesperson
3416,Wholesaler
3417,Auctioneer
3429,Stockbroker
3444,Civil servant
3460,Social worker
3471,Decorator
3472,Radio and television announcer
3473,Street musician
3475,Athlete
3480,Church deacon
4100,Clerk
4111,Typist
4113,Clerical worker
4115,Secretary
4131,Shop clerk
4132,clerk
4133,clerk
4141,Library assistant
4142,Mail carrier
4143,Advertising copy writer
4190,File clerk
4211,Cashier
4212,Bank teller
4215,Bill collector
4222,Receptionist
4223,Telephone operator
5110,Security guard
5112,Railroad conductor
5120,Chambermaid
5121,Housekeeper
5122,Cook
5123,Waitress
5131,Baby sitter
5132,Nursing assistant
5141,Hairdresser
5161,Firefighter
5162,Police officer
5169,Security guard
5220,Salesclerk
6113,Landscaper
6132,Farmer
6133,Farmer
6141,Logger
7110,Coal miner
7111,Miner
7112,Miner
7122,Bricklayer
7123,Cement worker
7124,Carpenter
7129,Construction laborer
7131,Roofer
7132,Cement worker
7133,Construction laborer
7136,Plumber
7137,Electrician
7143,Custodian
7212,Welder
7213,Sheet metal worker
7221,Blacksmith
7222,Tool and die maker
7230,Machine repairer
7231,Auto mechanic
7233,Machine repairer
7234,Laborer
7240,Electrician
7241,Electrical linesman
7242,TV repairman
7244,Telephone installer
7245,Electrical linesman
7310,Sheet metal worker
7311,Tool and die maker
7313,Jeweler
7331,Carpenter
7344,Photographer
7411,Butcher
7412,Baker
7420,Cabinet-maker
7422,Cabinet-maker
7433,Tailor
7436,Sewing machine operator
7442,Shoe repairman
7510,Supervisor
7520,Craftsman
8122,Steel worker
8151,Machine operator
8211,Machine operator
8223,Sheet metal worker
8229,Machine operator
8240,Machine operator
8251,Machine operator
8262,Textile worker
8263,Sewing machine operator
8264,Textile worker
8266,Shoe repairman
8269,Textile worker
8270,Machine operator
8274,Machine operator
8275,Machine operator
8290,Machine operator
8311,Railroad engineer
8312,Railroad engineer
8322,Taxi driver
8323,Bus driver
8324,Truck driver
8330,Bulldozer operator
8400,Machine operator
9131,Housekeeper
9132,Janitor
9140,Janitor
9141,Handyman
9151,Bellhop
9161,Garbage collector
9211,Farm laborer
9300,Laborer
9311,Miner
9313,Construction laborer
9320,Laborer
9321,Assembly line worker
9322,Assembly line worker
9333,Laborer
