term,E,P,A,e_e,e_p,e_a,fe_e,fe_p,fe_a
salesclerk,0.77,-0.01,1.08,1.81,0.36,1.29,1.81,-0.04,1.29
social_worker,2.12,1.27,-0.1,2.12,1.91,0.4,2.12,2.06,0.4
library_assistant,1.78,-0.06,-2.02,1.57,0.7,-0.88,1.57,0.97,-0.88
secretary,1.59,-0.22,-0.31,1.86,0.2,0.28,1.86,0.07,0.28
manager,1.15,2.61,1.29,2.05,3.38,1.41,2.05,3.51,1.41
accountant,1.03,1.16,-0.48,1.53,1.81,0.16,1.53,2.09,0.16
shop_clerk,1.27,-0.38,0.1,1.8,-0.29,0.57,1.8,-0.29,0.57
teacher,2.5,2.31,0.32,2.33,3.02,0.66,2.33,3.32,0.66
architect,1.52,1.7,-0.28,1.83,2.48,0.3,1.83,2.76,0.3
sewing_machine_operator,1.03,-0.53,-0.07,1.64,-0.17,0.45,1.64,-0.43,0.45
mechanical_engineer,1.63,1.69,-0.06,1.93,2.42,0.45,1.93,2.65,0.45
nurse,2.84,1.75,0.53,2.46,2.27,0.77,2.46,2.41,0.77
computer_programmer,1.51,1.46,0.01,1.89,2.15,0.5,1.89,2.31,0.5
actor,0.82,1.36,1.68,2,1.93,1.72,2,1.69,1.72
bellhop,1.2,-0.82,0.95,1.98,-0.66,1.17,1.98,-1.21,1.17
decorator,1.7,0.81,0.84,2.16,1.21,1.05,2.16,1.06,1.05
tool_and_die_maker,0.8,0.19,-0.15,1.48,0.71,0.4,1.48,0.62,0.4
elementary_school_teacher,2.66,1.81,0.71,2.44,2.31,0.89,2.44,2.43,0.89
bank_teller,1.27,0.57,-0.52,1.65,1.18,0.14,1.65,1.26,0.14
machine_operator_in_a_factory,0.94,0.29,1.1,1.9,0.69,1.29,1.9,0.35,1.29
machine_operator,0.94,0.29,1.1,1.9,0.69,1.29,1.9,0.35,1.29
carpenter,1.25,0.65,0.86,1.98,1.09,1.1,1.98,0.89,1.1
clerical_worker,1.11,-0.09,-0.47,1.58,0.39,0.17,1.58,0.32,0.17
janitor,1.45,-0.87,-0.94,1.64,-0.47,-0.15,1.64,-0.61,-0.15
doctor,2.69,2.94,0.37,2.39,3.74,0.68,2.39,4.17,0.68
manager_of_branch_store,1.23,1.42,1.25,2.07,1.95,1.37,2.07,1.83,1.37
craftsman,1.59,1.07,-0.31,1.86,1.73,0.28,1.86,1.88,0.28
cashier,0.65,-0.73,0.42,1.55,-0.42,0.82,1.55,-0.83,0.82
professional,1.72,2.23,0.09,2,3.03,0.54,2,3.35,0.54
receptionist,1.27,-0.16,-0.04,1.77,0.25,0.47,1.77,0.07,0.47
police_officer,1.05,2.49,1.43,2.04,3.24,1.52,2.04,3.31,1.52
supervisor,0.76,1.99,0.73,1.71,2.77,1.04,1.71,2.88,1.04
file_clerk,0.58,-0.67,-1.05,1.08,-0.24,-0.26,1.08,-0.3,-0.26
clergy,1.08,1.44,-0.73,1.49,2.24,-0.01,1.49,2.56,-0.01
